POS.;PART NO.;DESIGNATION;QTY.;UNITS;WEIGHT
1;735084050000;PLUG ;1.000;PC;103,600 G
2;700429055001;O-RING ;1.000;PC;8,110 G
3;700429042000;O-RING ;1.000;PC;6,400 G
4;700429018005;O-RING ;8.000;PC;1,900 G
5;5269970345;SEAL STRIP ;1.000;PC;145 G
6;5260101605;CRANKCASE ;1.000;PC;1.611 KG
7;5260101114;COVER ;1.000;PC;
8;5249950059;STRAP ;1.000;PC;72 G
9;5240111380;GASKET ;5.000;PC;
10;5240110732;COVER CYL BLOCK ACCESS PORT ;5.000;PC;2,740 KG
11;5240110440;FILLER PIECE STRIP ;1.000;PC;2,900 KG
12;5240110159;RING CYL LINER CARBON REMOVAL ;12.000;PC;216 G
13;007603014102;WASHER A COP ;1.000;PC;1,100 G
14;007349010002;WASHER ;1.000;PC;11,130 G
15;0049976736;VALVE DRAIN M18X1.5 X M16X1.5 ;2.000;PC;113 G
16;000933010198;BOLT HEX ;1.000;PC;20,080 G
17;000933010093;BOLT HEX S2000/4000 ;24.000;PC;28,600 G
18;000933010089;BOLT HEX S2000/4000 ;1.000;PC;21 G
19;000933010035;BOLT HEX S2000/4000 ;35.000;PC;2,300 G
20;000912008115;BOLT HEX SOC HD ;2.000;PC;12 G
21;000908014001;SCREW PLUG ;1.000;PC;16,600 G
22;000835010056;STUD ;8.000;PC;23,160 G
23;000125010524;WASHER ;24.000;PC;2,300 G
5;5260111501;CRANKCASE ;1;PC;
10;5240110111;CAP MAIN BEARING NARROW STD POSITION ;6;PC;12,214 KG
15;5240110511;BEARING CAP MAIN ;1;PC;14,162 KG
20;5240110570;STUD ;14;PC;1,090 KG
25;5240110172;NUT ;14;PC;
30;000912018008;BOLT HEX SOC HD ;14;PC;401 G
35;700521018201;WASHER ;14;PC;14,880 G
40;5249970020;CAP SEALING S2000/S4000 ;24;PC;
50;5240510110;BEARING CAMSHAFT STD ;7;PC;137 G
60;5240510210;CAMSHAFT BEARING SIZE 1-0 ;1;PC;150 G
70;5240114210;CYLINDER LINER SIZE 0 ;12;PC;16,800 KG
80;5240114410;LINER CYLINDER STAGE 1 ;1;PC;
90;5240114510;LINER CYLINDER STAGE 2 ;1;PC;16,980 KG
100;5550110259;SEALING RING ;24;PC;24,800 G
